ID,Output
14189.0,-5428.0707017472605
14742.0,17699.766828207674
13905.0,4679.185754738863
10072.0,2737.467434692403
14879.0,3487.2391519983516
13815.0,25945.06926241237
19697.0,25034.633554651027
17494.0,2651.383799442199
16252.0,-9812.145941778572
16260.0,12529.517699693995
10947.0,16767.25655280716
11538.0,-7462.880243941727
10851.0,-18298.478146435424
12313.0,-7977.231749326469
14644.0,-7564.064177039572
17497.0,730.5709647544782
12965.0,-10158.120620530966
17746.0,4792.998875795712
13264.0,14310.555405973246
15763.0,-23875.272179223113
13170.0,-10526.088406748868
14479.0,24423.481653177074
10346.0,-8276.541058789042
18970.0,5654.374144517464
17476.0,-5323.866526756193
12119.0,9646.636314891244
14522.0,13230.648057110388
11345.0,-259.9599099562727
15683.0,12631.303275430957
14338.0,-3018.6771650959336
16930.0,-2420.1171642383997
17549.0,6459.391781575829
18555.0,3472.6800786725503
14186.0,-12635.457960939877
18035.0,-4445.330498850992
11346.0,-5701.92516051775
13372.0,-3040.2618327631953
14401.0,-6816.06892052009
14478.0,-2153.675899226238
13391.0,12933.453439639636
16092.0,-1697.6903857767766
15117.0,-24790.21886824571
14560.0,-14863.847933674551
19618.0,-11194.106792711294
12155.0,-174.052711128468
10961.0,-19116.22370123892
19868.0,10379.768994442225
19198.0,12047.037078992113
13726.0,-2073.6931970793116
16666.0,-3533.33483190314
13672.0,9522.665533348883
13886.0,-2355.4593838974233
19523.0,8822.060131941986
14938.0,4856.869288123299
14487.0,-13456.317029842425
16576.0,-4018.6675939458974
19957.0,-18748.12025027624
16881.0,13497.468409763003
10869.0,16931.799227587802
12817.0,6365.992251600054
18557.0,1895.1367001580238
17299.0,-15035.920652759241
17226.0,-11318.873334731634
16112.0,778.3739237560576
15144.0,1433.807625941112
15823.0,-8036.408963453928
15010.0,10063.233350356144
19373.0,-5217.670653732052
16184.0,5783.629520298454
19047.0,-1862.951748607311
18646.0,-3329.4861870944187
13344.0,1599.0783701778887
12342.0,-3026.4360580169678
10553.0,5380.671652525682
19450.0,-29952.339014190646
15128.0,845.3594178481826
10044.0,-11325.276917542224
14856.0,-2911.8583070783525
15428.0,-4194.53470076368
13473.0,5557.977661154376
19872.0,4031.766893584937
12692.0,-31967.660705161656
13888.0,-8297.139608667898
14823.0,11698.701743408534
18733.0,-4539.554174205975
10761.0,7988.543119625707
